78.01 79.03 79.69 79.98 79.97 79.81 79.71 79.86 80.30 80.95 81.65 82.31 82.85 83.25 83.51 83.66
75.80 76.90 77.68 78.09 78.18 78.09 78.02 78.14 78.51 79.08 79.77 80.49 81.16 81.73 82.16 82.44
72.55 73.69 74.60 75.23 75.57 75.72 75.82 76.01 76.35 76.85 77.48 78.20 78.95 79.65 80.23 80.65
68.63 69.70 70.68 71.52 72.17 72.65 73.06 73.46 73.90 74.40 74.99 75.67 76.41 77.13 77.77 78.28
64.69 65.59 66.54 67.47 68.34 69.13 69.86 70.55 71.20 71.82 72.43 73.06 73.72 74.36 74.94 75.41
61.15 61.91 62.77 63.68 64.62 65.55 66.48 67.42 68.31 69.10 69.80 70.41 70.96 71.47 71.92 72.27
57.99 58.73 59.55 60.43 61.33 62.25 63.22 64.26 65.28 66.21 66.98 67.59 68.09 68.51 68.85 69.11
54.92 55.75 56.64 57.56 58.44 59.32 60.24 61.24 62.25 63.17 63.94 64.55 65.06 65.50 65.86 66.13
51.66 52.62 53.68 54.73 55.70 56.59 57.47 58.39 59.28 60.08 60.76 61.36 61.94 62.51 63.02 63.41
48.19 49.21 50.40 51.62 52.73 53.72 54.63 55.51 56.31 56.99 57.59 58.19 58.88 59.63 60.34 60.92
44.68 45.61 46.78 48.05 49.26 50.34 51.35 52.30 53.16 53.89 54.53 55.18 55.96 56.85 57.72 58.48
41.38 42.06 43.03 44.14 45.27 46.37 47.47 48.62 49.74 50.74 51.58 52.34 53.15 54.04 54.98 55.86
38.48 38.87 39.51 40.33 41.23 42.21 43.35 44.69 46.16 47.56 48.70 49.59 50.34 51.11 51.96 52.90
36.15 36.30 36.66 37.18 37.81 38.59 39.63 41.03 42.73 44.45 45.87 46.87 47.53 48.10 48.79 49.73
34.49 34.50 34.70 35.02 35.42 35.98 36.84 38.12 39.79 41.62 43.19 44.26 44.85 45.25 45.80 46.72
33.48 33.46 33.58 33.79 34.05 34.43 35.08 36.13 37.60 39.30 40.85 41.93 42.51 42.87 43.39 44.35
